Question,Options,Unprompted_prediction,Ground truth,Score
"11. X,Y, Z jointly promise to pay A an amount of Rs. 50,000/- Subsequently X,Y became untraceable. Can A compel Z to pay ?","['a) A can, under Section 43 para 1', 'b) A can under Section 49 para 1', 'c) A cannot and will have to wait till X,Y become traceable', 'd) Z can be compelled only for one third']","Options ['a) A can, under Section 43 para 1', 'b) A can under Section 49 para 1', 'c) A cannot and will have to wait till X,Y become traceable', 'd) Z can be compelled only for one third']",a,0
"12. Delivery of goods by one person to another for some purpose upon a contract that they shall, when the purpose is accomplished, be returned or disposed of according to the directions of the person delivering them. This process is termed as","['a) Agency', 'b) Bailment', 'c) Guarantee', 'd) Contingency']",a) Agency,b,0
"13. Section 14A inserted by the THE SPECIFIC RELIEF (AMENDMENT) ACT, 2018, relates to","['a) Power of the Courts to engage experts', 'b) Establishment of Special Court', 'c) Expeditious disposal of case', 'd) Specific performance with regard to contracts']",(d) Specific performance with regard to contracts,a,0
14. Parliament may by law establish Administrative Tribunals under ------------------- of the Constitution,"['a) Article 323B', 'b) Article 323A', 'c) Article 233', 'd) Article 323']",a) Article 323B,b,0
15. The Bar Council of India has to lay down the standards of professional conduct and etiquette for the Advocates under,"['a) Section 3 of the Advocate Act, 1961', 'b) Section 7 (1) (b) of the Advocate Act, 1961', 'c) Section 17 of the Advocate Act, 1961', 'd) Section 18 of the Advocate Act, 1961']","Answer: 'c) Section 17 of the Advocate Act, 1961'",b,0
16. According to Section 49 of the Advocate Act of 1961 the bar Council of India has power to make rules,"['a) qualifications for membership of a Bar Council and the disqualifications for such membership', 'b) the class or category of persons entitled to be enrolled as advocates', 'c) the standards of legal education to be observed by universities in India and the inspection of universities for that purpose.', 'd) All of the above']",c) the standards of legal education to be observed by universities in India and the inspection of universities for that purpose.,d,0
"17. Requisites of a valid adoption : no adoption shall be valid unless- (i) the person adopting has the capacity, and also the right, to take in adoption; (ii) the person giving in adoption has the capacity to do so; (iii) the person adopted is capable of being taken in adoption; and (iv) the adoption is made in compliance with the other conditions mentioned in this Chapter. - mentioned under","['a) Section 6 of Hindu Adoptions and Maintenance Act', 'b) Section 8 of Hindu Adoptions and Maintenance Act', 'c) Section 12 of Hindu Adoptions and Maintenance Act', 'd) Section 10 of Hindu Adoptions and Maintenance Act']","Options ['a) Section 6 of Hindu Adoptions and Maintenance Act', 'b) Section 8 of Hindu Adoptions and Maintenance Act', 'c) Section 12 of Hindu Adoptions and Maintenance Act', 'd) Section 10 of Hindu Adoptions and Maintenance Act']",a,0
"18. According to the Muslim women(protection of right son marriage) act, 2019, any pronouncement of talaq as defined under the Act by a Muslim husband upon his wife, by words, either spoken or written or in electronic form or in any other manner whatsoever, shall be ","['a) Void', 'b) Cognizable', 'c) compoundable', 'd) All of the above']",a) Void,d,0
19. The Hindu Succession (Amendment) Act (HSAA) 2005 provides for women:,"['a) coparcenary rights at par with men;', 'b) inheritance rights in agricultural land from her parents at par with her brothers;', 'c) inheritance of the self-acquired agricultural land of her deceased husband', 'd) All of the above']",a) coparcenary rights at par with men,d,0
20. Section 25 of the Hindu Marriage Act provides for,"['a) Custody of the Children', 'b) Permanent alimony and maintenance', 'c) Maintenance Pendente lite', 'd) Division of matrimonial property']",d) Division of matrimonial property,b,0
21. A Hindu wife had been living with her children and all the children had been brought up by her without any assistance and help from the husband many years. The wife was entitled to separate residence and maintenance under,"['a) Section 18 (2) (f) of Hindu Adoptions and Maintenance Act', 'b) Section 18 (2) (d) of Hindu Adoptions and Maintenance Act', 'c) Section 18 (2) (a) of Hindu Adoptions and Maintenance Act', 'd) Section 18 (2) (g) of Hindu Adoptions and Maintenance Act']",a) Section 18 (2) (f) of Hindu Adoptions and Maintenance Act,c,0
22. Imposition of compensatory costs in respect of false or vexatious claims or defences is dealt under,"['a) Section 33 of CPC', 'b) Section 35A of CPC', 'c) Section 30 of CPC', 'd) Section 35 of CPC']",a) Section 33 of CPC,b,0
23. Which provision under the Code of Civil Procedure deals with substituted service of summons upon the defendant,"['a) O.5 R.19A', 'b) O.5 R.19', 'c) O.5 R.20', 'd) O.5 R.21']",a) O.5 R.19A,c,0
"24. The question is, whether A owes B rupees 10,000. Which of the following statements are relevant under Evidence Act;","['a) The facts that A asked C to lend him money,', ""b) D said to C in A's presence and hearing “I advise you not to trust A, for he owes B 10,000 rupees,”"", 'c) A went away without making any answer', 'd) All of the above']",a) The facts that A asked C to lend him money,d,0
"25. So much of such information, whether it amounts to a confession or not, as relates distinctly to the fact thereby discovered by the police may be proved under ","['a) Section 25 of the Evidence Act', 'b) Section 26 of the Evidence Act', 'c) Section 27 of the Evidence Act', 'd) Section 29 of the Evidence Act']",[d) Section 29 of the Evidence Act],c,0
"26. When the Court has to form an opinion upon a point of foreign law or of science, or art, or as to identity of handwriting, or finger impressions, the opinions upon that point of persons specially skilled in such foreign law, science or art, or in questions as to identity of handwriting or finger impressions are relevant facts. - this is under ------------------ of the Evidence Act ","['a) Section 42', 'b) Section 45', 'c) Section 50', 'd) Section 55']",a) Section 42,b,0
"27. According to Environmental Protection Act, 1986, 'environmental pollutant' means","['a) any solid, liquid or gaseous substance present in such concentration as may be, or tend to be, helpful to environment', 'b) only gaseous substance present in such concentration as may be, or tend to be, injurious to environment ', 'c) any solid, liquid or gaseous substance present in such concentration as may be, or tend to be, injurious to environment', 'd) any solid, liquid present in such concentration as may be, or tend to be, injurious to environment']","Options ['a) any solid, liquid or gaseous substance present in such concentration as may be, or tend to be, helpful to environment', 'b) only gaseous substance present in such concentration as may be, or tend to be, injurious to environment ', 'c) any solid, liquid or gaseous substance present in such concentration as may be, or tend to be, injurious to environment', 'd) any solid, liquid present in such concentration as may be, or tend to be, injurious to environment']",c,0
28. National Green Tribunal cannot exercise its Jurisdiction with reference to,"['a) Wildlife (Protection) Act, 1972', 'b) Scheduled Tribes and Other Traditional Forest Dwellers (Recognition of Forest Rights) Act, 2006', 'c) The Public Liability Insurance Act, 1991', 'd) both A & B']",d) both A & B,d,1
"29. An attempt to acquire sensitive information such as usernames, passwords, and credit card details (and sometimes, indirectly, money) by masquerading as a trustworthy entity in an electronic communication - is known as ","['a) Pharming', 'b) Smishing', 'c) Phishing', 'd) Didling']",d) Didling,c,0
30. The Plea Bargaining is applicable only in respect of those offences for which punishment of imprisonment is up to a period of,"['a) 7 years.', 'b) 10 years', 'c) 11 years', 'd) 14 years']",a) 7 years,a,1
"31. “From a plain reading of Section 195 Cr.P.C. it is manifest that it comes into operation at the stage when the Court intends to take cognizance of an offence under Section 190(1) Cr PC.; and it has nothing to do with the statutory power of the police to investigate into an F.I.R. which discloses a cognizable offence….In other words, the statutory power of the Police to investigate under the Code is not in any way controlled or circumscribed by Section 195 Cr.PC.” - This was held by the Supreme Court in the case of ","['a) Nalini Vs State of Tamilnadu', 'b) Raj Singh Vs State [(1998)]', 'c) Shamsher Singh Vs State of Punjab', 'd) State of Himachal Pradesh Vs Tara Dutta']","Options ['a) Nalini Vs State of Tamilnadu', 'b) Raj Singh Vs State [(1998)]', 'c) Shamsher Singh Vs State of Punjab', 'd) State of Himachal Pradesh Vs Tara Dutta']",b,0
32. Indemnity contract is defined under,"['a) Section 124 of the Indian Contract Act', 'b) Section 67 of the Indian Contract Act', 'c) Section 127 of the Indian Contract Act', 'd) Section 128 of the Indian Contract Act']",a) Section 124 of the Indian Contract Act,a,1
33. Peek Vs. Gurney is a famous case related to,"['a) Coercion', 'b) Fraud', 'c) Mistake of fact', 'd) Mistake of law']",a) Coercion,b,0
"34. Which provision under Criminal procedure Code, 1973 deals with the procedure to be adopted by the Magistrate to record confessions and statements?","['a) Section 162', 'b) Section 164', 'c) Section 163A', 'd) Section 165']",a) Section 162,b,0
35. Attachment of property of person absconding can be done under Section ---- of Cr.P.C.,"['a) 83', 'b) 82', 'c) 85', 'd) 86']",a) 83,a,1
36. Magistrate may dispense with personal attendance of accused under Section ------ of Cr.P.C,"['a) 201', 'b) 204', 'c) 205', 'd) 200']",a) 201,c,0
37. The Supreme Court invoked the principle of 'Transformative Constitutionalism' in the case of,"['a) Navtej Singh Johar Vs Union of India (2018)', 'b) Suresh Kumar Koushal Vs Naz Foundation(2010)', 'c) Naz Foundation Vs Government of NCT of Delhi, (2009)', 'd) Aruna Roy Vs Union of India, (2002)']",a) Navtej Singh Johar Vs Union of India (2018),a,1
38. The provisions of Indian Penal Code apply also to any offence committed by,"['a) any citizen of India in any place without and beyond India;', 'b) any person on any ship or aircraft registered in India wherever it may be', 'c) any person in any place without and beyond India committing offence targeting a computer resource located in India.', 'd) All of the above']",d) All of the above,d,1
39. Section 105 (H) of Cr.P.C deals,"['a) Forfeiture of property in certain cases.', 'b) Notice of forfeiture of property', 'c) Management of properties seized or forfeited', 'd) Identifying unlawfully acquired property']",a) Forfeiture of property in certain cases.,a,1
40. Bar to taking cognizance after lapse of the period of limitation - is dealt under,"['a) Section 178 of Cr. P.C.', 'b) Section 469 of Cr. P.C.', 'c) Section 478 of Cr. P.C.', 'd) Section 168 of Cr. P.C.']",Answer: 'c) Section 478 of Cr. P.C.',d,0
41. “decree-holder” means,"['a) any person in whose favour a decree has been passed or an order capable of execution has been made', 'b) any person in whose favour a decree has been passed or an order incapable of execution has been made', 'c) any Citizen in whose favour a decree has been passed or an order capable of execution has been made', 'd) any corporation in whose favour a decree has been passed or an order capable of execution has been made']","Options ['a) any person in whose favour a decree has been passed or an order capable of execution has been made', 'b) any person in whose favour a decree has been passed or an order incapable of execution has been made', 'c) any Citizen in whose favour a decree has been passed or an order capable of execution has been made', 'd) any corporation in whose favour a decree has been passed or an order capable of execution has been made']",a,0
42. Under the Patent Act which of the following are not patentable?,"['a) a method of agriculture or horticulture', 'b) a presentation of information', 'c) topography of integrated circuits', 'd) All of the above']",a) a method of agriculture or horticulture,d,0
43. World Intellectual Property Organization (WIPO) has replaced preexisting,"['a) GATT', 'b) BIRPI', 'c) TPRM', 'd) PCT']",a) GATT,b,0
"44. Anuradha Bhasin Vs Union Of India on 10 January, 2020 relates to a challenge under Article 32 of the Constitution seeking issuance of an appropriate writ","['a) for setting aside orders of the Government by which all modes of communication including Internet have been shut down in J&K', 'b) for setting aside orders of the Government by which private property was sought to be acquired in J&K', 'c) for setting aside orders of the Government by which J&K was constituted as a UT', 'd) for setting aside orders of the Government by which Ladakh was separated.']","The writ petition was filed by Anuradha Bhasin, a resident of Jammu & Kashmir, seeking the issuance of an appropriate writ to the Union of India. The writ petition was filed on 10 January, 2020. The petitioner alleged that the Government of India had shut down all modes of communication including the Internet in J&K, and that the Government of J&K had ordered the acquisition of private property in J&K. The petitioner also alleged that the Government of India had constituted J&K as a UT, and that Ladakh had been separated from J&K. The petitioner sought the issuance of an appropriate writ to the Union of India to challenge the orders of the Government of J&K.",a,0
45. Section 66A of the Information Technology Act was struck down under Art. 19(1) (a) read with Article 19 (2) in the case of,"['a) Justice K. S. Puttaswamy Vs Union of India', 'b) Kharak singh Vs State of U.P.', 'c) Govinda Vs State of M.P.', 'd) Shreya Singhal Vs Union of India']",d) Shreya Singhal Vs Union of India,d,1
46. Article 145(3) of the Indian Constitution states that The minimum number of Judges who are to sit for the purpose of deciding any case involving a substantial question of law as to the interpretation of this Constitution or for the purpose of hearing any reference under Article 143 shall be….,"['a) Two', 'b) Three', 'c) Five', 'd) Nine']",a) Two,c,0
47. The utility of Public Interest Litigation,"['a) Liberalised locus standi', 'b) The proceedings are Non-Adversarial', 'c) Procedural requirements are liberalized', 'd) All of the above']",d) All of the above,d,1
"48. The petitioner, a professor of political science who had done substantial research and deeply interested in ensuring proper implementation of the constitutional provisions, challenged the practice followed by the state of Bihar in repromulgating a number of ordinances without getting the approval of the legislature. The court held that the petitioner as a member of public has 'sufficient interest' to maintain a petition under Article 32 - This relates to the case of","['a) Parmanand Katara Vs Union of India - AIR 1989, SC 2039', 'b) D.C.Wadhwa Vs State of Bihar, AIR 1987 SC 579', 'c) Neeraja Choudhari Vs State of Madhya Pradesh AIR 1984SC1099', 'd) Chameli Singh Vs State of U.P. AIR 1996,SC1051']","Options ['a) Parmanand Katara Vs Union of India - AIR 1989, SC 2039', 'b) D.C.Wadhwa Vs State of Bihar, AIR 1987 SC 579', 'c) Neeraja Choudhari Vs State of Madhya Pradesh AIR 1984SC1099', 'd) Chameli Singh Vs State of U.P. AIR 1996,SC1051']",b,0
"49. Where a legal wrong or a legal injury is caused to a person or to a determinate class of persons by reason of violation of any constitutional or legal right or any burden is imposed in contravention of any constitutional or legal provision or without authority of law or any such legal wrong or legal injury or illegal burden is threatened and such person or determinate class of persons by reasons of poverty, helplessness or disability or socially or economically disadvantaged position unable to approach the court for relief, any member of public can maintain an application for an appropriate direction, order or writ in the High Court under Article 226 and in case any breach of fundamental rights of such persons or determinate class of persons, in this court under Article 32 seeking judicial redress for the legal wrong or legal injury caused to such person or determinate class of persons."" - Justice Bhagwati in the case of","['a) Peoples Union for Democratic Rights Vs Union of India', 'b) Ashok Kumar Pandey Vs State of West Bengal', 'c) S. P. Gupta Vs Union of India', 'd) Janata Dal Vs H. S. Chowdhary']",The right to approach the court is not restricted to the poor or the helpless. The court has held that the right to approach the court,c,0
50. The definition of 'money' under GST law does not include,"['a) Letter of Credit', 'b) Currency held for numismatic value', 'c) Pay order', 'd) Traveler cheque']",a) Letter of Credit,b,0
51. Under Article 279A GST Council is constituted by,"['a) Prime Minister and his Council of Ministers', 'b) Respective Governors of the State', 'c) The President', 'd) A collective body of Union and States']",Answer: 'c) The President',c,1
52. The definition of Contract is defined under,"['a) Section 2(a) of the Indian Contract Act.', 'b) Section 2(h) of the Indian Contract Act.', 'c) Section 2(d) of the Indian Contract Act.', 'd) Section 2(g) of the Indian Contract Act.']",Answer: 'c) Section 2(d) of the Indian Contract Act.',b,0
53. Voluntarily throwing or attempting to throw acid is an offence punishable under,"['a) Section 326 B of the Indian Penal Code', 'b) Section 120 B of the Indian Penal Code', 'c) Section 509 of the Indian Penal Code', 'd) Section 295B of the Indian Penal Code']",Answer: 'c) Section 509 of the Indian Penal Code',a,0
"54. A is at work with a hatchet; the head flies off and kills a man who is standing by. Here, if there was no want of proper caution on the part of A, his act is","['a) An Offence of murder', 'b) An offence of Culpable homicide', 'c) Not an offence', 'd) An Offence of causing grievous hurt']",d) An Offence of causing grievous hurt,c,0
"55. A, with the intention of causing Z to be convicted of a criminal conspiracy, writes a letter in imitation of Z's handwriting, purporting to be addressed to an accomplice in such criminal conspiracy, and puts the letter in a place which he knows that the officers of the police are likely to search – A has committed an Offence under","['a) Section 256 of IPC', 'b) Section 192 of IPC', 'c) Section 195 A of IPC', 'd) Section 201 of IPC']",d) Section 201 of IPC,b,0
"56. India, that is Bharat, shall be a","['a) Federation of States', 'b) quasi federal', 'c) Union of states', 'd) Unitary state of a special type']",a) Federation of States,c,0
"57. In M.C. Mehta Vs. Union of India, AIR 1987 SC1086 (Sri Ram Fertilizers case) the court held that","['a) In escape of toxic gas the enterprise is strictly and absolutely liable to compensate all those who are affected by the accident and such liability is not subject to any of the exceptions which operate vis-a-vis the tortious principle of strict liability.', 'b) In escape of a dangerous animal the owner is strictly and absolutely liable to compensate all those who are affected by the accident and such liability is not subject to any of the exceptions which operate vis-a-vis the tortious principle of strict liability.', 'c) In escape of toxic gas the enterprise is strictly liable to compensate all those who are affected by the accident and such liability is subject to any of the exceptions which operate vis-a-vis the tortious principle of strict liability', 'd) A company or a corporation is not a state and hence not liable for leak of toxic gas affecting the health of the people']","Options ['a) In escape of toxic gas the enterprise is strictly and absolutely liable to compensate all those who are affected by the accident and such liability is not subject to any of the exceptions which operate vis-a-vis the tortious principle of strict liability.', 'b) In escape of a dangerous animal the owner is strictly and absolutely liable to compensate all those who are affected by the accident and such liability is not subject to any of the exceptions which operate vis-a-vis the tortious principle of strict liability.', 'c) In escape of toxic gas the enterprise is strictly liable to compensate all those who are affected by the accident and such liability is subject to any of the exceptions which operate vis-a-vis the tortious principle of strict liability', 'd) A company or a corporation is not a state and hence not liable for leak of toxic gas affecting the health of the people']",a,0
"58. Under Section 70 of the Indian Contract Act, Where a person lawfully does anything for another person, or delivers anything to him, not intending to do so gratuitously, and such other person enjoys the benefit thereof, the latter is bound to make compensation to the former in respect of, or to restore, the thing so done or delivered. This principle is known as","['a) A Contract of Uberrimae fide', 'b) Implied Agency', 'c) Quantum meruit', 'd) De nova contract']",a) A Contract of Uberrimae fide,c,0
59. Agreement is,"['a) a promise or set of promises forming consideration to each other', 'b) enforceable by law', 'c) enforceable contract', 'd) Un enforceable by law']",a) a promise or set of promises forming consideration to each other,a,1
"60. Under the Land Acquisition Act, the expression ""land"" includes","['a) benefits to arise out of land', 'b) things attached to the earth', 'c) things permanently fastened to anything attached to the earth', 'd) All of the above']",d) All of the above,d,1
"61. Temporary occupation of waste or arable land, procedure when difference as to compensation exists is provided under","['a) Section 32 of Land Acquisition Act', 'b) Section 30 of Land Acquisition Act', 'c) Section 35 of Land Acquisition Act', 'd) Section 31 of Land Acquisition Act']",a) Section 32 of Land Acquisition Act,c,0
62. Suits by indigent persons is dealt under,"['a) Order 44 of C.P.C', 'b) Order 33 of C.P.C', 'c) Order 55 of C.P.C', 'd) Order 22 of C.P.C']",a) Order 44 of C.P.C,b,0
"63. Res gestae, Relevancy of facts forming part of same transaction is dealt under","['a) Section 6 of the Evidence Act', 'b) Section 17 of the Evidence Act', 'c) Section 18 of the Evidence Act', 'd) Section 20 of the Evidence Act']",a) Section 6 of the Evidence Act,a,1
"64. Among other things, the Function of Bar council of India includes laying down standards of professional conduct and etiquette for advocates. – Under which section of the Advocates Act","['a) Section 7', 'b) Section 8', 'c) Section 9', 'd) Section 6']",Answer: 'c) Section 9',a,0
65. According to Justice 'Abbot Parry' what are the “Seven Lamps of Advocacy”.,"['a) (i) Honesty (ii) Courage (iii) professionalism (iv) Wit (v) Eloquence, (vi) Judgment and (vii) Fellowship.', 'b) (i) Honesty (ii) Courage (iii) Industry (iv) Wit (v) Eloquence, (vi) Judgment and (vii) Fellowship.', 'c) (i) influence (ii) Courage (iii) Industry (iv) Wit (v) Eloquence, (vi) Judgment and (vii) Fellowship.', 'd) (i) Honesty (ii) Courage (iii) Industry (iv) seriousness (v) Eloquence, (vi) Judgment and (vii) Fellowship.']","Options ['a) (i) Honesty (ii) Courage (iii) professionalism (iv) Wit (v) Eloquence, (vi) Judgment and (vii) Fellowship.', 'b) (i) Honesty (ii) Courage (iii) Industry (iv) Wit (v) Eloquence, (vi) Judgment and (vii) Fellowship.', 'c) (i) influence (ii) Courage (iii) Industry (iv) Wit (v) Eloquence, (vi) Judgment and (vii) Fellowship.', 'd) (i) Honesty (ii) Courage (iii) Industry (iv) seriousness (v) Eloquence, (vi) Judgment and (vii) Fellowship.']",b,0
66. Minimum number of Directors in a Public company,"['a) 3', 'b) 10', 'c) 12', 'd) 5']",a) 3,a,1
"67. An associate company, in relation to another company, means","['a) a company in which that other company has a significant influence, but which is a subsidiary company of the company having such influence and includes a joint venture company', 'b) a company in which that other company has a significant influence, but which is not a subsidiary company of the company having such influence and includes a joint venture company', 'c) a company in which that other company has a significant influence, but which is not a subsidiary company of the company having such influence and does not include a joint venture company', 'd) a company in which that other company has full shares, and is a subsidiary company of the company having such influence and includes a joint venture company']","Options ['a) a company in which that other company has a significant influence, but which is a subsidiary company of the company having such influence and includes a joint venture company', 'b) a company in which that other company has a significant influence, but which is not a subsidiary company of the company having such influence and includes a joint venture company', 'c) a company in which that other company has a significant influence, but which is not a subsidiary company of the company having such influence and does not include a joint venture company', 'd) a company in which that other company has full shares, and is a subsidiary company of the company having such influence and includes a joint venture company']",b,0
68. The Supreme Court has legalised living wills and passive euthanasia subject to certain conditions in the case of,"['a) Aruna Ramachandra Shanbaug Vs Union of India (2011)', 'b) Common Cause Vs Union of India, (2018) 5 SCC 1.', 'c) Gian Kaur Vs State of Punjab (1996)', 'd) D Chenna Jagadeeswar Vs State of A.P. ( 1988)']",d) D Chenna Jagadeeswar Vs State of A.P. (1988),b,0
69. Article 310 of the Constitution mentions about,"['a) Doctrine of Immunities and Instrumentalities with reference to civil servants', 'b) Doctrine of legitimate expectation with reference to civil servants', 'c) Doctrine of natural justice with reference to civil servants', 'd) Doctrine of pleasure with reference to civil servants is']",a) Doctrine of Immunities and Instrumentalities with reference to civil servants,d,0
70. Right to know the antecedents of the candidates in the election flow from,"['a) Article 19 (1)(a)', 'b) Article 20', 'c) Article 13', 'd) Article 14']",a) Article 19 (1)(a),a,1
"71. In the Preamble of the Indian Constitution, the expression 'liberty' is followed by the words","['a) Of status and opportunity', 'b) Of thought, expression, belief, faith and worship', 'c) Assuring the dignity of the individual', 'd) Justice, social economic and political']","d) justice, social economic and political",b,0
"72. According to Income Tax Act ""zero coupon bond"" means a bond","['a) issued by any infrastructure capital company or infrastructure capital fund or public sector company or scheduled bank on or after the 1st day of June, 2005;', 'b) in respect of which no payment and benefit is received or receivable before maturity or redemption from infrastructure capital company or infrastructure capital fund or public sector company or scheduled bank', 'c) which the Central Government may, by notification in the Official Gazette, specify in this behalf.', 'd) All of the above']",a) [a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a),d,0
73. Provisions relating to GST are inserted in the Constitution by,"['a) The Constitution (one hundred and first) Act 2016', 'b) The Constitution (one hundred and second) Act 2016', 'c) The Constitution (eighty fourth) Act 2016', 'd) The Constitution (seventy seven) Act 2016']",d) The Constitution (seventy seven) Act 2016,a,0
"74. A is accused of waging war against the Government of India by taking part in an armed insurrection in which property is destroyed, troops are attacked, and goals are broken open. The occurrence of these facts is relevant, as forming part of the general transaction, though A may not have been present at all of them. – under which section of the India Evidence Act.","['a) Section 12', 'b) Section 6', 'c) Section 3', 'd) Section 5']",Answer: 'c) Section 3',b,0
75. Section 110 of the Evidence Act deals with,"['a) Documentary Evidence', 'b) Exclusion of Oral Evidence', 'c) Burden of proof as to ownership', 'd) Proof of guilt.']",d) Proof of guilt,c,0
76. Section 113 (A) of the Evidence Act deals with,"['a) Presumption as to abetment of murder', 'b) Presumption as to rape and abetment of suicide by a woman', 'c) Presumption as to abetment of kidnap of a girl', 'd) Presumption as to abetment of suicide by a married woman']",d) Presumption as to abetment of suicide by a married woman,d,1
77. In which of the following case the offence of sedition was in issue,"['a) Queen Empress Vs Bal Gangadhar Tilak', 'b) Niharendu Dutt Mazumdar Vs Emperor', 'c) Kedar Nath singh Vs State of Bihar', 'd) All of the above']",a) Queen Empress Vs Bal Gangadhar Tilak,d,0
"78. Deliberate and malicious acts, intended to outrage religious feelings of any class by insulting its religion or religious beliefs. – is an offence under","['a) Section 295', 'b) Section 295A', 'c) Section 265A', 'd) Section 276']",d) Section 276,b,0
79. Under Section 29 of Cr.P.C. The Court of a Chief Judicial Magistrate may pass any sentence authorized by law except,"['a) A sentence of death', 'b) Imprisonment for life', 'c) Imprisonment for a term exceeding seven years.', 'd) All of the above']",a) A sentence of death,d,0
80. Provision regarding filing of suits by an alien under the Code of Civil procedure is dealt under,"['a) Section 21A', 'b) Section 15', 'c) Section 21B', 'd) Section 83']",a) Section 21A,d,0
"81. An order issued by court under Civil Procedure Code 1908 as per order XXI, rule 46, for recovery of amount due to judgment creditor – is known as","['a) IT Order', 'b) Garnishee Order', 'c) Decree Holder order', 'd) Bank Order']",a) IT Order,b,0
"82. Section 88 read with Order XXXV of the Code of Civil Procedure, 1908 deals with","['a) Interpleader suit', 'b) Interlocutory Order', 'c) Restitution Order', 'd) Attachment Order']",d) Attachment Order,a,0
83. Vis major means,"['a) Act of God', 'b) Act of Individual', 'c) Act of other party', 'd) Act of plaintiff']",a) Act of God,a,1
84. According to Classical doctrine of Act of State in law of Torts means,"['a) an act of the sovereign power of a country, that cannot be challenged, controlled or interfered with by municipal courts', 'b) an act of the Judiciary of a country, that cannot be challenged, controlled or interfered with by municipal courts', 'c) an act of the sovereign power of a country, that can be challenged, controlled or interfered with by municipal courts', 'd) None of the above']","a) an act of the sovereign power of a country, that cannot be challenged, controlled or interfered with by municipal courts",a,1
"85. In Torts, all persons who aid, or counsel, or direct or join in the committal of a wrongful act, are known as","['a) Abettors', 'b) Joint tortfeasors.', 'c) Tort holders', 'd) Tort holders in common']",a) Abettors,b,0
86. M.C. Mehta Vs Union of India 1986 Shriram food and Fertilisers case relates to,"['a) Olieum Gas leak', 'b) Ganga water cleaning', 'c) Child labour', 'd) Bonded labour']",a) Olieum Gas leak,a,1
