Question,Options,Unprompted_prediction,prompted_output_t1,prompted_output_t2
54. What is ad hoc arbitration?,"['a) It is a proceeding administered by the parties themselves, with rules created solely, for that specific case', 'b) Parties make their own arrangement with respect to all aspects of the arbitration, including the laws and rules', 'c) The seal of arbitration, the language, and the scope and issues to be resolved by means of arbitration.', 'd) (a) (b) (c)']","Options ['a) It is a proceeding administered by the parties themselves, with rules created solely, for that specific case', 'b) Parties make their own arrangement with respect to all aspects of the arbitration, including the laws and rules', 'c) The seal of arbitration, the language, and the scope and issues to be resolved by means of arbitration.', 'd) (a) (b) (c)']","Option ['a) It is a proceeding administered by the parties themselves, with rules created solely, for that specific case'].",Option ['d) (a) (b) (c)']
55. Which of the following Sections of the Civil Procedure Code define the 'Mesne Profit' ?,"['a) Section 2(4)', 'b) Section 2(14)', 'c) Section 2(6)', 'd) Section 2(12)']","Answer: ['a) Section 2(4)', 'b) Section 2(14)', 'c) Section 2(6)', 'd) Section 2(12)']",Option ['a) Section 2(14)'],Option ['a) Section 2(14)'] as it defines 'Mesne Profit' as 'the amount of money or property that a person has or may have to pay in a lawsuit'.
"56. On which of the following dates did Hindu Marriage Act, 1955 come into operation?","['a) 18th May, 1955', 'b) 17th June, 1955', 'c) 22nd May, 1955', 'd) 18th June, 1955']","a) 18th May, 1955","Option ['a) 18th May, 1955'].","Option ['a) 18th May, 1955']."
"57. Which of the following properties will section 30 of the Hindu Succession Act, 1956, govern? I. Tarwad II. Tavazhi III. Kutumba IV. Kavaru V. Illom","['a) I, III, and V', 'b) II, IV and V', 'c) I and II', 'd) All of the above']","Options ['a) I, III, and V', 'b) II, IV and V', 'c) I and II', 'd) All of the above']","Option ['a) I, III, and V'].","Option ['a) I, III, and V']"
58. An advocate is under an obligation to uphold the rule of law and ensure that the pubic justice system is enabled to function at its full potential. Any violation of the principle of professional ethic by an advocate is unfortunate and unacceptable. Ignoring even a minor violation/misconduct militates against the fundamental foundation of the public justice system. It was said in ,"['a) Hikmant ali khan Vs Ishwar prasad Arya, 1997 3 SCC 131 ', 'b) O.P. Sharma Vs high court of Punjab & Haryana, (2011) 6 SCC 86 ', 'c) L.D. Jaikwal Vs state of Uttar Pradesh, (1984) 3 SCC 405 ', 'd) Shamsher singh bedi Vs High court of Punjab & Haryana, (1996) 7 SCC 99.']",The principle of professional ethics is a fundamental rule of law. It is a rule of law that is based on the principle of justice and fairness. It is a rule that is based on the principle of justice and fairness. It is a rule that is based on the principle of justice and fairness. It is a rule that is based on the principle of justice and fairness. It is a rule that is based on the principle of justice and fairness. It is a rule that is based on the principle of justice and fairness. It is a rule that is based on the principle of justice and fairness. It is a rule that is based on the principle of justice and fairness. It is a rule that is based on the principle of justice and fairness. It is a rule that is based on the principle of justice and fairness. It is a rule that is based on the principle of justice and fairness. It is a rule that is based on the principle of justice and fairness. It is a rule that is based on the principle of justice and fairness. It is a rule that is based on the principle of justice and fairness. It is a rule that is based on the principle of justice and fairness. It is a rule that is based on the principle of justice and fairness. It,"Option 'd) Shamsher singh bedi Vs High court of Punjab & Haryana, (1996) 7 SCC 99.'","Option ['a) Hikmant ali khan Vs Ishwar prasad Arya, 1997 3 SCC 131 ']"
"59. Section 8 of the companies act, 2013 contains provision relating to ","['a) incorporation of company ', 'b) formation of companies with charitable objects, etc ', 'c) effect of registration ', 'd) Effect of memorandum and articles.']",d) effect of memorandum and articles,Option 'd) Effect of registration'.,Option 'd) Effect of registration'.
60. The verification of the registered office shall be furnished to the registrar within a period of ___ incorporation ,"['a) 30 days ', 'b) 60 days ', 'c) 90 days ', 'd) 120 days']",a) 30 days,Option 'b) 60 days'.,Option 'b) 60 days'.
61. Cyber law deals with ,"['a) All activities concerning the internet ', 'b) IPR ', 'c) E-commerce ', 'd) All of the above']",a) All activities concerning the internet,Option ['a) All activities concerning the internet '].,Option ['a) All activities concerning the internet '].
"62. According to section 2 of motor vehicles Act, 1988 the term motor cab means any motor vehicle constructed or adapted to carry not more than ","['a) 5 passengers or including the driver ', 'b) 6 passengers or including the driver ', 'c) 5 passengers or excluding the driver ', 'd) 6 passengers or excluding the driver']",d) 5 passengers or excluding the driver,Option 'd) 5 passengers or excluding the driver'.,Option 'd) 5 passengers or excluding the driver'.
63. The National Commission of Consumer Protection is composed of ,"['a) 7 members ; ', 'b) 5 members ; ', 'c) 8 members ; ', 'd) 6 members ;']",a) 7 members,Option 'c) 8 members'.,Option 'c) 8 members'.
"64. Which of the following statement/ statements is/are false for the purpose of the Hindu Marriage Act, 1955? I. It is assumed that a person who is not Muslim, Santhal, Christian, Jew or Parsi by religion is Hindu II. A person who belongs to Lingayat sub sect is assumed to be Hindu III. A person converted who converted to another religion needs to follow local ritual/ custom for converting back to Hinduism","['a) I only', 'b) I and II', 'c) III only', 'd) I and III']","Options ['a) I only', 'b) I and II', 'c) III only', 'd) I and III']: 'c) III only'",Option 'c) III only'.,Option ['a) I only'].
65. Provision for settlement of dispute outside court has been provided under Section.......... of Civil Procedure Code.,"['a) 91', 'b) 89', 'c) 51', 'd) 151']",a) 91,Option 'c) 51'.,Option 'c) 51'.
66. The Indian Evidence Act came into force on,"['a) 6th October, 1860', 'b) 1st March, 1974', 'c) 15th March, 1872', 'd) 1st September, 1872']","Answer: 'c) 15th March, 1872'","Option 'd) 1st September, 1872'.","Option 'b) 1st March, 1872'."
"67. According to the provisions of Article 315 of the Indian Constitution: I. There shall be a public service commission for the Union and a Public Service commission for each state. II. The public service commission for the Union, if requested to do by the governor of a state may, with the approval of the president, agree to serve all or any of the needs of the state. Which of the above statements is/are correct?","['a) Only I', 'b) Only II', 'c) I and II', 'd) None of them']",c) I and II,Option ['a) Only I'].,Option ['a) Only I'].
"68. Which of the following sections of the Hindu Adoption and Maintenance Act, 1956 deals with ""amount of maintenance""?","['a) Section 21', 'b) Section 22', 'c) Section 23', 'd) Section 24']",a) Section 21,Option 'c) Section 23'.,Option ['b) Section 22'].
69. In which of the following case the Supreme Court First of all made an attempt to look into the question regarding the extension of the right to life to the right to Health and other Hygienic conditions —,"['a) The Rural Litigation and Entitlement Kendra Vs State of Uttar Pradesh.', 'b) M.C Mehta Vs Union of India', 'c) V. Lakshmipathy Vs State of Karnataka', 'd) F.K. Hussain Vs Union of India.']",a) The Rural Litigation and Entitlement Kendra Vs State of Uttar Pradesh.,Option ['a) The Rural Litigation and Entitlement Kendra Vs State of Uttar Pradesh.'],Option ['a) The Rural Litigation and Entitlement Kendra Vs State of Uttar Pradesh.']
70. Basel Convention is associated with one of the following —,"['a) International Trade in Endangered species of wild Fauna & flora', 'b) Climate change', 'c) Protection of Ozone layer', 'd) The control of transboundary movement of Hazardous waste and their disposal.']",a) International Trade in Endangered species of wild Fauna & flora,Option ['a) International Trade in Endangered species of wild Fauna & flora'].,Option [a) International Trade in Endangered species of wild Fauna & flora].
71. Cyber crime is ________ in nature ,"['a) Tangible ', 'b) Intangible ', 'c) Of mental Violence ', 'd) None of the above']",a) Tangible,Option 'd) None of the above'.,"Option ['a) Tangible ']. Cyber crime is of a tangible nature, as it involves physical computers and electronic devices."
72. Health and education cess is applicable to — ,"['a) All assesses ', 'b) All assesses except company ', 'c) Individual / HUF ', 'd) Company only ']",a) All assesses,Option 'd) Company only '.,Option 'd) Company only'.
"73. Contractual Liability arises , where: ","['a) There is offer and acceptance only. ', 'b) There is intention to create legal relation. ', 'c) There is loss to one party ', 'd) The loss of one party is the gain of other party.']",d) The loss of one party is the gain of other party.,Option 'b) There is intention to create legal relation.',Option [b) There is intention to create legal relation.
74. The rule of Strict Liability is based on the decision in :- ,"['a) Donoghue Vs Stevenson ', 'b) Homes Vs Ashford ', 'c) Rylands Vs Fletcher ', 'd) None of the above']",a) Donoghue Vs Stevenson,Option ['a) Donoghue Vs Stevenson '],Option ['a) Donoghue Vs Stevenson ']
75. The Rule of Last opportunity was Laid down in :- ,"['a) Davies Vs Manh ', 'b) State of A.P. Vs Ranganna ', 'c) Nugent Vs Smith. ', 'd) Kalawati Vs state of HP ']",a) Davies Vs Manh,Option 'd) Kalawati Vs state of HP'.,Option ['a) Davies Vs Manh ']
"76. In which of the following cases was it held that ""the rights conferred under section 25 of the Hindu Adoption and Maintenance Act, 1956 supersedes any contract to the contrary. The fact that the date of decree makes no difference""? ","['a) Surenderabal Vs Suppiah ', 'b) Mukesh teli Vs Bharti Teli ', 'c) Sesi Ammal Vs Thaiyu Ammal ', 'd) Laxmi Vs Krishna']",a) Surenderabal Vs Suppiah,Option 'b) Mukesh teli Vs Bharti Teli'.,Option 'b) Mukesh teli Vs Bharti Teli'.
"77. The phrase ""file a PIL, ostensibly in public interest but, in fact, to serve personal or private interests"" means - ","['a) filing PIL for protection of only public interest ', 'b) filing PIL for protection of both public and private interest ', 'c) filing PIL for protection of only private interest ', 'd) filing PIL alleging it to be in public interest but actually seeking protection of private interest']","Options ['a) filing PIL for protection of only public interest ', 'b) filing PIL for protection of both public and private interest ', 'c) filing PIL for protection of only private interest ', 'd) filing PIL alleging it to be in public interest but actually seeking protection of private interest']","Option 'd) filing PIL alleging it to be in public interest but, in fact, seeking protection of private interest'.","Option ['d) filing PIL alleging it to be in public interest but, in fact, seeking protection of private interest']"
78. Filing of frivolous PILs results in,"['a) increasing backlog of cases', 'b) wastage of resources', 'c) lesser availability of time for hearing other genuine cases', 'd) All of the above']",d) All of the above,Option ['All of the above'].,Option ['d) All of the above'].
"79. Z, under the influence of madness, attempts to kill X. Is Z guilty of an offence. Has X the same right of private defence which he would have if Z were sane?","['a) Z has not committed any offence as per section 98 of IPC and same right of private defence to X if Z is mad', 'b) As per Section 98 of IPC, X has committed an offence and no right of private defence to X', 'c) Z has committed an offence for not using his mind', 'd) None above']","Options ['a) Z has not committed any offence as per section 98 of IPC and same right of private defence to X if Z is mad', 'b) As per Section 98 of IPC, X has committed an offence and no right of private defence to X', 'c) Z has committed an offence for not using his mind', 'd) None above']","Option ['b) As per Section 98 of IPC, X has committed an offence and no right of private defence to X'].","Option ['b) As per Section 98 of IPC, X has committed an offence and no right of private defence to X']."
80. Admission can be broadly categorised into:,"['a) Judicial', 'b) Extra- judicial', 'c) Either A and B', 'd) Both A and B']",d) None of the above,Option ['a) Judicial'].,Option ['a) Judicial'].
"81. Section 66, Indian Evidence Act lays down:","['a) A notice must be given before secondary evidence can be received under section 65 (a), Indian Evidence Act', 'b) Notice to produce a document must be in writing', 'c) Order XI, Rules 15, of Civil Procedure Code, prescribes the kind of notice to produce a document', 'd) All of them']","a) A notice must be given before secondary evidence can be received under section 65 (a), Indian Evidence Act",Option 'd) All of them'.,Option 'd) All of them'.
"82. Maxim ""Res Ipsa Loquitur"" means :-","['a) The thing speaks for itself', 'b) Where there is right there is remedy', 'c) Where there is remedy there is right', 'd) Where there is no fault there is no remedy']",d) Where there is no fault there is no remedy,Option 'd) Where there is no fault there is no remedy'.,Option ['a) The thing speaks for itself'].
83. Any private person may arrest any person who:,"['a) Commits non-bailable offence in his presence', 'b) Commits non- bailable offence and cognizable offence in his presence', 'c) Commits compoundable offence in his presence', 'd) Commits offence in his presence or is a proclaimed offender']",d) Commits offence in his presence or is a proclaimed offender,Option 'd) Commits offence in his presence or is a proclaimed offender'.,Option 'd) Commits offence in his presence or is a proclaimed offender'.
84. How long a warrant of arrest shall remain in force?,"['a) 6 years', 'b) 10 years', 'c) 12 years', 'd) Until executed or cancelled']",a) 6 years,Option 'd) Until executed or cancelled'.,Option 'c) 12 years'.
85. Rate of additional Depreciation will be----- under section 32- Indian Income Tax Act ,"['a) 10 % ', 'b) 20 % ', 'c) 15 % ', 'd) 30 %']",a) 10 %,Option 'c) 15 %'.,Option 'b) 20 %'.
"86. The Committee which led to the passing of the Criminal Law (Amendment) Act, 2013 was headed by ","['a) Justice Dalveer Bhandari ', 'b) Justice Altamas Kabir ', 'c) Justice J.S. Verma ', 'd) Justice A.S. Anand ']",a) Justice Dalveer Bhandari,Option 'd) Justice A.S. Anand'.,Option ['a) Justice Dalveer Bhandari ']
"87. Under the scheme of Criminal Procedure Code, non-cognizable offences are: ","['a) Public wrongs ', 'b) Private wrongs ', 'c) Both public and private wrongs ', 'd) None of the above ']",a) Public wrongs,Option 'c) Both public and private wrongs'.,Option 'c) Both public and private wrongs'.
"88. A discrimination against a man or a woman, only on grounds of _______ would be violative of Article 15(1)","['a) Sex ', 'b) Remuneration ', 'c) Place of birth ', 'd) Religion ']",a) Sex,Option 'd) Religion'.,Option [d) Religion].
