Question,Answer,Option,Predicted_ans,Explanation
11. Minimum number of members required n to apply for incorporation certificate in a public Ltd company is :,a,"['a) 7', 'b) 3', 'c) 2', 'd) 50']",a) 7,"According to the Companies Act, 2013, a minimum of 7 members are required for the incorporation of a public limited company."
12. Complaint means allegation in writing made by a complainant that,d,"['a) An unfair trade practice or restrictive Trade practice has been adapted by any traders or service provider', 'b) The goods bought by him or agreed to be bought by him suffer from one or more defect', 'c) A traders or the service provider as the case may be has charged for the goods or for the service mentioned in the complaint a price in excess of the price', 'd) All of the above']",d) All of the above.,"As per the Consumer Protection Act, a complaint can be related to unfair or restrictive trade practices, defects in goods, or excessive pricing."
"13. In a written statement, the defendant can claim",d,"['a) Set off', 'b) Counter plain', 'c) Both a & b', 'd) None of the above']",c) Both a & b,"In a written statement, the defendant can claim both a set-off (deducting a certain amount from the total sum payable) and a counterclaim (a claim made to offset another claim)."
14. An appeal to the high court against the order of ITAT should be filled within,b,"['a) 45 days when the order is communicated', 'b) 60 days when the order is communicated', 'c) 90 days when the order is communicated', 'd) 120 days when the order is communicated']",c) 90 days when the order is communicated.,"As per the Income Tax Act, an appeal to the High Court against the order of the ITAT should be filed within 90 days of the order's communication."
15. When can the supreme court refuse to grant remedy under Article 32,d,"['a) Delay', 'b) Malicious petition', 'c) Infructuous petition', 'd) All of the above']",d) All of the above.,"The Supreme Court may refuse to grant a remedy under Article 32 in cases of delay, malicious petition, or infructuous (ineffective or unprofitable) petition."
16. In respect of the family relations the law applicable in India is,d,"['a) Secular law in india', 'b) Statutory law', 'c) Religious law', 'd) Personal laws of the parties']",d) Personal laws of the parties.,"Family relationships in India are governed by the personal laws of the parties, which may be based on their religion or other factors."
17. The term sabbatical is connected with,c,"['a) Paid leave for study', 'b) Paternity leave', 'c) Maternity leave', 'd) Quarantine leave']",a) Paid leave for study.,"A sabbatical is a period of paid leave granted to a university teacher or other worker for study or travel, traditionally one year for every seven years worked."
"18. The undertaking contained in a promissory note, to pay a certain sum of money is",b,"['a) Conditional', 'b) Unconditional', 'c) Maybe conditional or unconditional depending upon the circumstances', 'd) All of the above']",b) Unconditional.,The undertaking in a promissory note to pay a certain sum of money is unconditional.
"19. Section 112 of the Indian evidence act, provides that a child would be treated as legitimate/ after dissolution of marriage, he / she has been born within",c,"['a) 180 days', 'b) 270 days', 'c) 280 days', 'd) 300 days']",c) 280 days.,"As per Section 112 of the Indian Evidence Act, a child born within 280 days of the dissolution of a marriage is considered legitimate."
20. Maintenance application under section 18(2)of Hama is filled in,b,"['a) Matrimonial court', 'b) District court', 'c) High court', 'd) Any of the above']",b) District court.,"As per the Hindu Adoptions and Maintenance Act (HAMA), a maintenance application under section 18(2) is typically filed in a district court."
21. There is either theft or extortion. It is,a,"['a) Robbery', 'b) Dacoity', 'c) Criminal breach of trust', 'd) Receiving stolen property']",a) Robbery,"Robbery is defined in the Indian Penal Code as either theft or extortion, where the offender, for the purpose of committing theft or extorting, voluntarily puts a person in fear of harm."
"22. In most EU member countries, which of the following is the most visible form of ADR?",b,"['a) Mediation', 'b) Arbitration', 'c) Litigation', 'd) Conciliation']",b) Arbitration,"Arbitration is the most visible form of Alternative Dispute Resolution (ADR) in most EU member countries, typically due to its binding nature and the ability to enforce arbitration awards."
23. which of the following is known as consumer disputes redressal agency?,d,"['a) District forum', 'b) State commission', 'c) National commission', 'd) All of the above']",d) All of the above.,"All the listed options - District Forum, State Commission, and National Commission, are part of the consumer dispute redressal machinery established under the Consumer Protection Act, 1986."
24. The rule is that penal statutes must be construed,b,"['a) Liberally', 'b) Strictly', 'c) Golden rule', 'd) mischievous']",b) Strictly.,"Penal statutes, or laws that impose punishments, are typically construed strictly. This means they are interpreted narrowly and exactly, without deviating from the language used."
25. Indian computer emergency response team to serve as national agency for incident response is constituted under section,d,"['a) 71 of IT act', 'b) 70 of IT act', 'c) 70(a) of IT act', 'd) 70(b) of IT act']",c) 70(a) of IT act.,"The Indian Computer Emergency Response Team (CERT-In) was established under section 70A of the Information Technology Act, 2000, and acts as a national agency for incident response."
"26. In relation to relevancy of charter in the civil cases, which of the following is not correct",d,"['a) It is not at all relevant', 'b) It is relevant when it affects award of damage', 'c) When character is itself an issue', 'd) When it appears from the fact otherwise relevant']",a) It is not at all relevant.,"In civil cases, character evidence is generally not admissible unless it is directly related to the case, affects award of damages, or the character itself is an issue."
27. The chief elements necessary to constitute a crime are,d,"['a) A human being', 'b) An evil intent', 'c) Injury to another human being or society', 'd) All of the above']",d) All of the above.,"The main elements necessary for a crime are a human being (the perpetrator), an evil intent (mens rea), and an injury to another human being or society (actus reus)."
28. Income which accrue or arise outside india but are directly received into India are taxable in case of,b,"['a) Residents only', 'b) Both ordinarily residents and non residents', 'c) non resident', 'd) All the assesses']",d) All the assesses.,Income accrued or arising outside India but directly received in India is taxable for all categories of taxpayers as per Income Tax Act.
29. The provisions relating to Abolition of untouchability is given in,c,"['a) Article 23', 'b) Article 24', 'c) Article 17', 'd) Article 15']",c) Article 17.,Article 17 of the Indian Constitution is about the abolition of Untouchability. It categorically declares that untouchability is abolished and its practice in any form is forbidden.
"30. Where a magistrate of the first class passes only a sentence of fine not exceeding Rs. 100, against this order where an appeal shall lie",c,"['a) In the court of chief judicial magistrate', 'b) In the court of chief metropolitan magistrate', 'c) Both a and b', 'd) None of the above']",a) In the court of chief judicial magistrate.,"As per the Criminal Procedure Code, an appeal against a sentence of fine not exceeding Rs. 100 passed by a first class magistrate lies in the court of the Chief Judicial Magistrate."
31. Government employees may refer their unresolved grievances and labor dispute to,a,"['a) Internal labor department', 'b) Bureau of labor relations', 'c) Public sector labor- management council', 'd) Department of labor']",c) Public sector labor-management council,The public sector labor-management council is the most likely entity that would handle unresolved grievances and labor disputes of government employees. They are designed to foster better labor-management relations within the government sector.
"32. Who is an adolescent as per the factories act, 1948",b,"['a) Who has completed 17 years', 'b) Who is less than 18 years of age', 'c) Who is more than 15 years but less than 18 years of age', 'd) None of these']",c) Who is more than 15 years but less than 18 years of age,"As per the Factories Act, 1948, an ""adolescent"" is a person who has completed his fifteenth year of age but has not completed his eighteenth year."
33. 'A' does not fall under the clause of memorandum of association. 'A' here is :,b,"['a) Subscription', 'b) Director', 'c) Capital', 'd) Situation']",b) Director,"The Memorandum of Association typically includes the name of the company, registered office of the company, objectives of the company, liability of members and share capital. The directors are usually mentioned in the Articles of Association, not in the Memorandum of Association."
34. PIL is criticised on the grounds of,d,"['a) Private motive', 'b) Political ends', 'c) Tremendous increase in the litigation', 'd) All of the above']",d) All of the above,"Public Interest Litigation (PIL) has been criticized for being misused for private motives, political ends and causing an increase in litigation. This can lead to the slowing down of the judicial process."
35. To close down a factory the occupier has to give how many days notice to the authorities,b,"['a) 30 days', 'b) 60 days', 'c) 90 days', 'd) 14 days']",c) 90 days,"According to the Industrial Disputes Act, 1947, if an employer intends to close down an industrial establishment, he must give at least 90 days notice to the appropriate authority indicating the reasons for closure."
"36. The environment (protection) act, 1986 came into force on",b,"['a) 18th November 1986', 'b) 19th November 1986', 'c) 20th November 1986', 'd) 21st November 1986']",b) 19th November 1986,"The Environment (Protection) Act, 1986 came into effect in India on November 19, 1986. This Act was enacted with the objective of providing for the protection and improvement of the environment."
"37. What should be the difference of age under the Hindu Adoption and Maintenance act, 1956, if a female adopts male",a,"['a) 21 years', 'b) 25 years', 'c) 18 years', 'd) 16 years']",a) 21 years,"As per the Hindu Adoption and Maintenance Act, 1956, if a Hindu female wants to adopt a male child, there should be an age difference of at least 21 years between the adopter and the adoptee."
"38. ""Dealer"" includes a person who is engaged",d,"['a) In building bodies for attachment to chassis; or', 'b) Im repair of motor vehicles; or', 'c) In the business of hypothecation, leasing, or hire- purchase of motor vehicle', 'd) All of the above']",d) All of the above,"The term ""dealer"" in the context of motor vehicles can refer to any person engaged in building bodies for attachment to chassis, repairing motor vehicles, or in the business of hypothecation, leasing, or hire-purchase of motor vehicles."
"39. 'A' a surgeon, knowing that a particular operation is likely to cause death of 'Z', who suffers under painful complaint, but not intending to cause Z's death & intending in good faith performs that operation on Z with Z's consent. A has committed no offense, it is contained in",a,"['a) Section 88 of the IPC', 'b) Section 89 of the IPC', 'c) Section 90 of the IPC', 'd) Section 87 of the IPC']",a) Section 88 of the IPC,"Section 88 of the Indian Penal Code (IPC) provides for the exemption for acts not intended to cause death, done by consent in good faith for a person's benefit."
"40. Under section 115, in the exercise of its revisional jurisdiction, a high court can do which of the following things",a,"['a) To call for the record of any case which has been decided by any court, subordinate to the high court', 'b) To vary reverse any decree or order against which an appeal lies to the High court', 'c) Both a & b', 'd) None of the above']",c) Both a & b,"As per section 115 of the Code of Civil Procedure, a High Court may call for the record of any case which has been decided by any court subordinate to such High Court and in which no appeal lies thereto, and if such subordinate court appears to have exercised a jurisdiction not vested in it by law, or to have failed to exercise a jurisdiction so vested, or to have acted in the exercise of its jurisdiction illegally or with material irregularity, the High Court may make such order in the case as it thinks fit."
41. A warrant of arrest may be extended,b,"['a) To that place where the offender has committed the offence', 'b) At any place within India', 'c) To the place specified under the criminal procedure code', 'd) None of the above']",b) At any place within India,"A warrant of arrest may be extended to any place within India. The Code of Criminal Procedure, 1973 provides for the extension of a warrant of arrest throughout the entire country, regardless of where the offence was committed."
42. Which is not included within the meaning of artistic work under Copyright Act,d,"['a) Drawing', 'b) Work of architecture', 'c) Work of craftsmanship', 'd) Work of carpenter']",d) Work of carpenter,"The Copyright Act provides protection to original works of authorship including literary, dramatic, musical, and artistic works. An artistic work includes paintings, sculptures, drawings, engravings, photographs, works of architecture, and works of artistic craftsmanship. The work of a carpenter does not fall under the category of an ""artistic work"" as per the Act."
43. Which of the following statement is correct,c,"['a) A confession made by an accused to the police officer is relevant', 'b) A confession made by an accused in police custody to a magistrate is not relevant', 'c) A confession made by an accused in the police custody and discovery made from the information received from confession and discovery are relevant', 'd) None of the above is correct']",c) A confession made by an accused in the police custody and discovery made from the information received from confession and discovery are relevant,"According to Section 27 of the Indian Evidence Act, 1872, when the accused is in police custody, and a fact is discovered in consequence of information received from him, such information is deemed relevant whether it amounts to a confession or not."
44. In which of the following cases a set off can be claimed?,a,"[""a) 'A' owes the partnership firm of 'B' &'C' Rs. 1000/-. B dies leaving C surviving. A sues C for a debt of Rs. 1500/- due in his separate character. C wants to set off the debt of Rs. 1000/-."", 'b) A sues B for Rs. 20,000/- B wants to set off the claim for damages for breach of contract for specific performance', 'c) Both a & b', 'd) None of the above']",c) Both a & b,"In both given situations, set-off can be claimed. Set-off is the right of a defendant to reduce the amount of a claim by alleging a counterclaim."
"45. It refers to an authority derived from official character merely not expressly conferred upon the individual character, but rather annexed to official position",b,"['a) Designation', 'b) Ex-officio', 'c) Appointment', 'd) Ad interim']",b) Ex-officio,"""Ex-officio"" means by virtue of one's office. The term refers to powers or authority granted not by virtue of personal attributes but rather from an office or official capacity."
"46. Part III of Arbitration and Conciliation Act, 1996 formalizes:",a,"['a) Process of conciliation', 'b) Process of Arbitration', 'c) Enforcement of foreign awards under New york and Geneva Convention', 'd) All of the above']",a) Process of conciliation,"Part III of the Arbitration and Conciliation Act, 1996, is specifically dedicated to the process of conciliation. Conciliation is a process by which the parties to a dispute employ a neutral third party, known as the conciliator, who meets with the parties separately in order to resolve their differences."
47. The parties which cannot be compelled to perform specific performances of contract are provided in which section of Specific relief act -,d,"['a) 27', 'b) 28', 'c) 29', 'd) 30']",b) 28,"Section 28 of the Specific Relief Act, 1963, lists out the parties who cannot be compelled to perform specific performances of a contract."
48. Which of the following sections deal with the provisions relating to maximum period for which an under trial prisoner can be detained,b,"['a) 436', 'b) 436 a', 'c) 437 a', 'd) 437']",b) 436 a,"Section 436A of the Code of Criminal Procedure, 1973, deals with the maximum period for which an undertrial prisoner can be detained."
"49. The right to equality before the law under Article 14, is subject to restrictions of",b,"['a) Public order and morality', 'b) Reasonable classification', 'c) Reasonable restriction', 'd) Reasonable situations']",b) Reasonable classification,"The right to equality before the law under Article 14 of the Constitution of India is subject to the principle of ""reasonable classification"". The state can treat different classes of persons differently if the classification is reasonable and not arbitrary."
"50. Under section 114 , a person can apply for review of judgment when :",d,"['a) he is aggrieved by a decree / order from which an appeal is allowed , but no appeal is allowed .', 'b) He is aggrieved by a decree / order from which no appeal is allowed', 'c) He is aggrieved by a decision on a reference from a court of small causes .', 'd) all of the above']",b) He is aggrieved by a decree / order from which no appeal is allowed,"As per Section 114 of the Code of Civil Procedure, 1908, a person can apply for review of a judgment when he is aggrieved by a decree or order from which no appeal is allowed."
51. The Chairperson of Cyber Appellate Tribunal is appointed by the,c,"['a) Central Government in consultation with the Chief Justice of India', 'b) State Government in consultation with the Chief Justice of the High Court', 'c) Central Government', 'd) Central Government in consultation with Controller of Certifying Authority']",a) Central Government in consultation with the Chief Justice of India,"As per the Information Technology Act 2000, the Chairperson of the Cyber Appellate Tribunal is appointed by the Central Government in consultation with the Chief Justice of India."
52. A case of a co - operative society the maximum amount on which income tax is not chargeable is,d,"['a) 50,000', 'b) 30,000', 'c) 20,000', 'd) Nil']","a) 50,000","Under Section 80P of the Income Tax Act, 1961, a co-operative society is eligible for a deduction in respect of income by way of interest, dividends, etc. from total income. This deduction is available if the gross total income of the co-operative society does not exceed Rs. 50,000."
53. Pre - emption on the ground of Shafie - E-jar was declared unconstitutional in,b,"['a) Bhau Ram Vs Baij Nath', 'b) Govind Dayal Vs Inayatullah', 'c) Bhagawan Das Vs Chetram', 'd) Ram Saran Lall Vs Mst . Domini Kuer']",a) Bhau Ram Vs Baij Nath,"In the case of Bhau Ram vs. Baij Nath, pre-emption on the ground of Shafie-E-jar was declared unconstitutional by the court."
54. which case is leading case on arrest,c,"['a) Joginder Kumar Vs State of UP', 'b) State of WB ys DK , Basu', 'c) Both a and b', 'd) None of the above']",c) Both a and b,"Both ""Joginder Kumar Vs State of UP"" and ""State of WB vs. DK Basu"" are leading cases on the subject of arrest and the rights of the arrested person under the Indian constitution."
"55. Filing with the court , to object owns or another 's imprisonment is called ?",b,"['a) writ of Quo warranto', 'b) Habeas Corpus', 'c) Writ of Prohibition', 'd) None of the above']",b) Habeas Corpus,A writ of Habeas Corpus is a court order to a person (prison warden) or agency holding someone in custody to deliver the imprisoned individual to the court issuing the order.
"56. Under which Supreme Court judgment, action of the president to summon, prorogue and dissolve either of the houses of the parliament, shall be unconstitutional if acted without advice of Council of Ministers-",b,"['a) Indira Gandhi Vs. Raj Narain AIR . 1975 s.c. 2299', 'b) Anandan vs. Chief Secretary , A.I. R. 1966 s.c 657', 'c) Rao vs. Indira Gandhi A.I.R. 1971 S.C 1002', 'd) None of the above']",d) None of the above,"The question appears to refer to the judgment in the case of ""Samsher Singh vs State Of Punjab"". It was in this case that the Supreme Court of India held that the President of India acted on the advice of the Council of Ministers."
57. What is the Special Constitutional Position of - Jammu and Kashmir ?,c,"['a) It is above Indian constitution', 'b) Indian laws are not applicable', 'c) It has its own constitution', 'd) It is not of the integral parts of Indian Union']",c) It has its own constitution,"Until 2019, Jammu and Kashmir had a special constitutional position and its own Constitution in addition to the Constitution of India. However, it's important to note that after August 2019, the special status accorded to Jammu and Kashmir under Article 370 of the Indian Constitution was abrogated."
58. To make the criminal harmless by supplying him those things which he lacks and to cure him of those drawbacks which made him to commit crime is known as,c,"['a) Expiatory or penance theory of punishment', 'b) Deterrent theory or preventive theory of punishment', 'c) Reformative or rehabilitative or corrective theory of punishment', 'd) Retributive theory of punishment']",c) Reformative or rehabilitative or corrective theory of punishment,The Reformative or rehabilitative or corrective theory of punishment aims to reform the offender by helping him to overcome his deficiencies and integrating him back into society as a law-abiding citizen.
"59.The distinction between Sections 299 and 300 was made clear by Melvill J. , in",b,"['a) Reg Vs Guruchand Gope', 'b) Reg Vs Govinda', 'c) Reg Vs Hayward', 'd) Govind Vs Reg']",b) Reg Vs Govinda,The distinction between Sections 299 and 300 of the Indian Penal Code was clarified by Melvill J. in the case of Reg vs. Govinda.
"60. Which of the following cases the Supreme Court of India opined that "" bail is the surety and jail is an exception :",d,"['a) Joginder Kumar Vs State of U.P.', 'b) Moti Ram Vs State of MP', 'c) Maneka Gandhi Vs Union of India', 'd) State of w.B. Vs D. K. Basu']",b) Moti Ram Vs State of MP,"In the case of Moti Ram vs. State of MP, the Supreme Court of India observed that ""bail is the rule and jail is an exception"". The Court asserted that it is the basic principle of criminal jurisprudence that the grant of bail is the general rule and putting a person in jail or in a prison is an exception."
"61. Which of the following heirs is not class 1 heir under the Hindu Succession Act , 1956",c,"['a) Son', 'b) widow', 'c) Father', 'd) Mother']",c) Father,"According to Section 8 of the Hindu Succession Act, 1956, Class-I heirs include son, daughter, widow, mother, son of a pre-deceased son, etc. Father does not fall under Class I heirs, but is considered a Class II heir."
62. According to Republic Act No. 6770 these powers is not provided to office of Ombudsman,b,"['a) Prosecutory power', 'b) function to adopt , institute and implement preventive measures', 'c) Public assistant functions', 'd) None of the above']",d) None of the above,"The Republic Act No. 6770, also known as the Ombudsman Act of 1989 of Philippines, provides the Office of the Ombudsman with prosecutory power, the function to adopt, institute, and implement preventive measures, and public assistance functions."
"63. Who is responsible for payment to a person employed by him in a factory under the Payment of Wages Act , 1936",c,"['a) Accounts manager', 'b) HR manager', 'c) Floor manager', 'd) Owner']",d) Owner,"Under the Payment of Wages Act, 1936, the employer (Owner) is responsible for the payment of wages to the persons employed by him. The employer may delegate this responsibility to a manager, but the ultimate responsibility remains with the owner."
"64. Natural guardian of an adopted son under Hindu Minority & Guardianship Act , 1956 is",c,"['a) Original father', 'b) In the absence of ( a ) , original mother', 'c) Adoptive father', 'd) None of the above']",c) Adoptive father,"Under Section 7 of the Hindu Minority & Guardianship Act, 1956, the natural guardian of an adopted son who is a minor is the adoptive father, and after him, the adoptive mother."
"65. The concept of ""plea bargaining"" is not applicable to the offence committed against",c,"['a) A women', 'b) A child', 'c) Both a and b', 'd) None of the above']",c) Both a and b,"According to Section 265B of CrPC, plea bargaining is not applicable to an offence where the offence committed is a crime against a woman or a child below the age of 14 years."
66. Under which Section of CrPC the Assistant Public Prosecutor is appointed,c,"['a) 13', 'b) 20', 'c) 24', 'd) 25']",c) 24,"Under Section 24 of the Code of Criminal Procedure (CrPC), the appointment of Assistant Public Prosecutors is made."
67. In which section of the Hindu Succession 1956 the Law of Mitakshara has been incorporated,d,"['a) section 8', 'b) Section 7', 'c) Section 9', 'd) Section 6']",d) Section 6,"The law of Mitakshara coparcenary has been incorporated in Section 6 of the Hindu Succession Act, 1956. This section deals with the devolution of interest in coparcenary property and the right of a coparcener to acquire the property by survivorship."
68. Who are the partners in a bill of exchange,a,"['a) Drawer & Drawee', 'b) Payee', 'c) Both a and b', 'd) None of the above']",c) Both a and b,"In a bill of exchange, there are three parties involved - the Drawer (the person who creates the bill), the Drawee (the person on whom the bill is drawn), and the Payee (the person to whom the payment is to be made)."
69. A perpetual injunction can only be granted by the decree at the hearing and upon the -,c,"['a) Demand of the party', 'b) Discretion of the court', 'c) Merit of the suit', 'd) None of the above']",b) Discretion of the court,A perpetual injunction can only be granted by the decree made at the discretion of the court. The court decides this based on the facts and circumstances of each case.
"70. Under which section of CPC, option for settlement of dispute is provided outside the court?",c,"['a) 80 ( 1 )', 'b) 89 ( 2 )', 'c) 89 ( 1 )', 'd) 80 ( 2 )']",c) 89 (1),"Section 89 (1) of the Civil Procedure Code provides the option for the settlement of disputes outside the court. This section allows for alternative dispute resolution methods such as arbitration, conciliation, judicial settlement including through Lok Adalat, or mediation."
"71. 'A' , resides at Shimla , 'B' at Kolkata and 'C' at Delhi. A , B & C being together at Banaras. B & make a joint promissory note, payable on demand and delivered to A. A may sue B & C",d,"['a) At Banaras , where the cause of action arose', 'b) At Kolkata where B resides .', 'c) At Delhi where C resides .', 'd) All of the above']",d) All of the above,"According to the Code of Civil Procedure, 1908, a suit can be instituted where any of the defendants resides or where the cause of action arises. Therefore, A may sue B and C at any of these places: Banaras, where the cause of action arose, Kolkata where B resides, or Delhi where C resides."
72. In which case did the Supreme Court held that misconduct envisages breach of discipline,b,"['a) P.D. Gupta vs. Ram Murti', 'b) Noretanmal Chaurasia Vs. M.R Murli', 'c) PJ Ratnam vs. D. Kanikaram', 'd) none of the above']",a) P.D. Gupta vs. Ram Murti,"In the case of P.D. Gupta vs. Ram Murti, the Supreme Court held that misconduct envisages a breach of discipline. Misconduct means a transgression of some established and definite rule of action, a forbidden act, or improper behavior."
73. which is the leading case on environment,a,"['a) M.C. Mehta Vs Union of India Union of India', 'b) Union of India Vs H.S. Dhillon', 'c) Maneka Gandhi Vs Union of India', 'd) None of the above']",a) M.C. Mehta Vs Union of India Union of India,"M.C. Mehta Vs Union of India is a landmark case in the environmental jurisprudence of India. This case was concerning the leakage of oleum gas from a factory in Delhi, and it developed the principle of absolute liability for harm caused by hazardous industries."
"74. In the Government of India Act 1935 , which subjects are included in the concurrent list ?",d,"['a) Marriage', 'b) Divorce & Arbitration', 'c) Criminal Law & Procedure', 'd) All of the above']",d) All of the above,"The Government of India Act 1935 was an act of the UK Parliament which provided for a significant devolution of powers to India. The Act included subjects like marriage, divorce & arbitration, and criminal law & procedure in the concurrent list, which could be legislated upon both by the central and provincial legislatures."
"75. A contract of 'indemnity' under the Indian Contract Act , 1872 , has been defined in Section:",a,"['a) 124', 'b) 123', 'c) 125', 'd) 126 ( a )']",a) 124,"A contract of indemnity is defined under Section 124 of the Indian Contract Act, 1872. It is a contract by which one party promises to save the other from loss caused to him by the conduct of the promisor himself, or by the conduct of any other person."
76. Liability of drawer to compensate the drawee in case of dishonor is primarily provided under,c,"['a) Section 29 ( a )', 'b) Section 29', 'c) Section 30', 'd) Section 31']",c) Section 30,"Section 30 of the Negotiable Instruments Act, 1881, stipulates the liability of the drawer to compensate the drawee in case of dishonor."
77. Which of the following case is leading case in term of 'deliberate delay in filing of the suit resulting in huge losses to the complainant,b,"['a) Prof. Krishanraj Goswami Vs Vishwanath D. Mukashikar', 'b) Pratap Narayan vs. Y , P. Raheja', 'c) Babulal Jain Vs. Subhash Jain', ""d) John D' souza Vs Edward Ani""]",a) Prof. Krishanraj Goswami Vs Vishwanath D. Mukashikar,The case of Prof. Krishanraj Goswami Vs Vishwanath D. Mukashikar is a leading case that discusses 'deliberate delay in filing of the suit resulting in huge losses to the complainant'. It underlines the importance of timely action in legal matters.
"78. The which of the following cases , it was said that ""unless a right of appeal is clearly given by statute it does not exist""",a,"['a) M/s . Ram Narayan Pvt . Ltd. Vs Trading corporation Ltd. A.I.R 1983 S.C. 786', 'b) Raja Himanshu Dhar Singh Vs Addl . Registrar AIR 1962 ALL , 439', 'c) Zair Hussain Khan Vs Khurshed lain ( 1906 ) LL.R 28 ALL 545', 'd) Smt . Gangabai Vs Vijaya Kumar , A.I.R 1974 , 5.C statue it does not exist :corporation Ltd. A.LR 1983 S.C. 786 A.I.R 1962 ALL , 1126']",a) M/s . Ram Narayan Pvt . Ltd. Vs Trading corporation Ltd. A.I.R 1983 S.C. 786,"In this case, it was held that unless a right of appeal is clearly given by statute it does not exist. This principle establishes the idea that appellate jurisdiction is not inherent and must be expressly provided for by law."
79. A reference can be made during the pendency :,a,"[""a) The subordinate court refers the case to the high court for the latter 's opinion on question of law"", ""b) The subordinate court refers the case to the high court for the latter 's opinion on question of evidence"", ""c) The subordinate court refers the case to the high court for the latter 's opinion on question of fact"", ""d) The subordinate court refers the case to the high court for the latter 's opinion on question of court procedure""]",a) The subordinate court refers the case to the high court for the latter 's opinion on question of law,A reference can be made during the pendency of a case when the subordinate court refers the case to the High Court for the latter's opinion on a question of law. This allows the High Court to guide the subordinate court on points of law that may be unclear or contested.
80. The theoretical powers to amend the constitution.has been given to the Members of Parliament and State Legislatures by,b,"['a) Article 358', 'b) Article 368', 'c) Article 378', 'd) No such powers']",b) Article 368,"The power to amend the Constitution has been provided to the Parliament of India under Article 368. It provides a detailed procedure for amending the Constitution and defines the scope and limits of this power. The State Legislatures do not have the power to amend the Constitution, except for the ratification of certain types of amendments."
