Question,Option,Answer,Pred_ans,Explanation
85. Which of the following does not come under the 'immovable property' as per the T.P. Act?,"['a) Sales of a ceiling fan.', 'b) Right to claim maintenance.', 'c) Right relating to lease', 'd) Fasementary right.']",A,a) Sales of a ceiling fan.,"A ceiling fan is considered a movable property, not immovable, according to the Transfer of Property Act."
"86. State of U.P.Vs. Nawab Hussain,1977 sCR (3) 428 relates to:","['a) Res subjudice.', 'b)  Res judicate.', 'c) Constructive resjudicata', 'd) Deemed rejudicata']",C,b) Res judicata.,State of U.P. Vs. Nawab Hussain is a leading case on the principle of res judicata.
"87. X is living in Pune and Y, his brother in Mumbai, X wants to file a suit for partition of their joint property situated in Delhi and Bangalore.","['a) The suit may be instituted in Delhi only.', 'b) The suit may be instituted in Bangalore only.', 'c) The suit may be instituted either in Delhi or Bangalore.', 'd) Mone of the above.']",C,c) The suit may be instituted either in Delhi or Bangalore.,"As per Section 16 of the Civil Procedure Code, a suit for partition can be instituted in any court within whose jurisdiction any portion of the property is situated."
88. An immovable property held by Y is situated at Bhopal and the wrongdoer personally works for gain at Indore. A Suit to obtain compensation for wrong to the property may be instituted.,"['a) At Bhopal', 'b) At Indore', 'c)Either at Bhopal or at Indore', 'd) None of these']",C,c) Either at Bhopal or at Indore.,"As per the Civil Procedure Code, the suit can be filed at a place where the cause of action, wholly or in part, arises or where the defendant voluntarily resides, carries on business or personally works for gain."
"89. Under which Section of Income tax Act, 1961 'Income of other persons included in Assessee's total income'","['a) 56-58', 'b) 66-65', 'c) 45-54', 'd) All of the Above']",B,a) 56-58.,"Under Sections 56-58 of the Income Tax Act, 1961, the income of other persons included in assessee's total income is covered."
90. A period of 12th Months commencing on the 1st day of April of every year is known ...,"['a) Assessment year', 'b) Leap year', 'c) Previous year', 'd) None']",A,a) Assessment year.,"Under the Income Tax Act, an Assessment Year is the period of twelve months commencing on the first day of April every year."
"91. Which Section of the Information technology (amendment) Act, 2008 desla with the validity of contracts formed through electronic means:","['a) Section 12', 'b) Section 10A', 'c) Section 11', 'd) Section 13']",B,b) Section 10A.,"Section 10A of the Information Technology (Amendment) Act, 2008 deals with the validity of contracts formed through electronic means. It states that contracts shall not be deemed unenforceable solely because electronic means were used for that purpose."
92. Joint sitting of both Houses of parliament may be called by the?,"['a) Speaker', 'b) Chairman', 'c) President', 'd) Prime Minister']",C,c) President.,"According to the Constitution of India, a joint session of both Houses of Parliament can be called by the President of India under Article 108."
93. Specific relief........... Where the agreement is made with minor (fill in the blanks).,"['a) Can get', 'b) Cannot be given', 'c) can release', 'd) Implemented with law']",B,b) Cannot be given.,"As per the Indian Contract Act, 1872, any agreement with a minor is void-ab-initio, meaning it is null and void from the beginning. Hence, specific relief cannot be given where the agreement is made with a minor."
94. A person entitled to the possession or specific immovable property may res In the manner provided by:,"['a) The code of procedure, Act 1908.', 'b) The Indian registration Act, 1908', 'c) The Indian Contract Act, 1872.', 'd) The Transfer of property Act, 1882.']",A,"a) The code of procedure, Act 1908.","The Code of Civil Procedure, 1908 lays down the procedure for the recovery of specific immovable property."
95. Section 39 of Specific Relief Act deals with-,"['a) Registration of Instrument', 'b) cancellation of Instruments', 'c) Correctness of Instruments', 'd) None of the above']",D,b) cancellation of Instruments.,"Section 39 of the Specific Relief Act, 1963 provides for the power of the court to cancel a written instrument."
"96. A ""dumb witness"" gives his evidence in writing in the open court, such evidence would be treated as","['a) oral evidence', 'b) Documentary evidence', 'c) Secondary evidence', 'd) Primary evidence']",A,a) oral evidence.,"A ""dumb witness"" (a mute witness) who gives evidence in writing in open court is considered to have given oral evidence as per the Indian Evidence Act. The writing is considered a form of speech in this context."
"97. Under the Indian evidence act, which of the following is not a court","['a) Persons legally authorised to take evidence', 'b) Judges', 'c) Magistrates', 'd) Arbitrators']",D,d) Arbitrators.,"As per the Indian Evidence Act, an arbitrator is not considered a 'court'. Arbitration is an alternative dispute resolution method outside of court."
98. Which of the following section of the motor vehicle Act 1988 defines the term 'Owner'?,"['a) Section 2 (30)', 'b) Section 2 (31)', 'c) Section 2 (25)', 'd) Section 2 (32)']",A,a) Section 2 (30).,"Under the Motor Vehicles Act, 1988, the term ""Owner"" is defined in Section 2(30)."
"99. Under Land Acquisition Act, 1894 an . industrial concern, ordinarily, employing not less than...................workmen owned by an individual or by an association of individuals and not being a Company, desiring to acquire la erection of dwelling houses for workmen employed by the concern or for the provision of amenities directly connected therewith shall, so far as concerns the Acquisition of such land, be deemed to be a company for the purpose of this part, and the references to company in (sections 4, 5A, 6, 7, and 50) shall be interpreted as references also to such concern. Fill in the blanks:","['a) One Hundred', 'b) Two Hundred', 'c) Three Hundred', 'd) Four Hundred']",A,a) One Hundred.,"As per the Land Acquisition Act, 1894, an industrial concern that employs not less than 100 workmen owned by an individual or association of individuals is deemed to be a company for the purpose of land acquisition."
"100. Under Land Acquisition Act, 1894 the expression ""Company"" means-","['a) a company as defined in section 3 of the Companies Act, 1956, other than a Government company referred to in clause(cc);', 'b) a company as defined in section 2 of the Companies Act, 1956, other than a Government company referred to in clause (c) कंपनी अतधतनयम, 1956 की धारा 2 में पररभातषत एक कंपनी, िंि (c) में तनर्दवष्ट सरकारी कंपनी के अलावा;', 'c) a company as defined in section 1 of the Companies Act, 1956(1 of 1956) other than a Government referred to In clause (cc);', 'd) a company as defined in section 6 of the Companies Act, 1956 (1 of 1956), other than a Government company referred to in clause (c);']",A,"a) a company as defined in section 3 of the Companies Act, 1956, other than a Government company referred to in clause(cc);.","As per the Land Acquisition Act, 1894, the term ""Company"" refers to a company as defined under section 3 of the Companies Act, 1956, other than a Government company."
